video_id,final_views,num_country,num_country_quantile,final_views_quantile,quantile
ddzY0-gfJLE,536184,1,0,2,2
eghg5ARy2b0,283663,1,0,2,2
elNwgULc_zw,362170,1,0,2,2
fRFROTUEQ8o,340009,1,0,2,2
h65n_ZQUeV4,437247,1,0,2,2
jAI36FUBRw4,220353,1,0,2,2
jBCCCkaBBJ4,450291,1,0,2,2
jcioCFJP7EQ,250988,1,0,2,2
k0AzQpeCnKc,277674,1,0,2,2
k47KXK1rh-A,397535,1,0,2,2
kFj8rRh8CLU,430430,1,0,2,2
nDwYIFUzf44,403828,1,0,2,2
qD-0WDXbxcw,537659,1,0,2,2
sRb1qsV-moo,368675,1,0,2,2
sdj-16PdQ70,331926,1,0,2,2
szrDcTGvp7o,433716,1,0,2,2
usUHNgwIoeU,290516,1,0,2,2
zxI8yA41WX4,254588,1,0,2,2
-4CMLC3ZjB0,326375,1,0,2,2
143UzhjErH4,317027,1,0,2,2
1RGBtA_GhWI,304515,1,0,2,2
2gbVgTxLgN0,562823,1,0,2,2
7XAVA83Y-yo,298094,1,0,2,2
AjpQWAPe5_w,238239,1,0,2,2
ERByosdWXfI,582731,1,0,2,2
EuRAHM6Zdxk,512829,1,0,2,2
G8fbpKrS-hU,560665,1,0,2,2
GJ9Y-it5ZG0,306042,1,0,2,2
GYTWwKRC60A,384763,1,0,2,2
HxMwkoBrgI8,313564,1,0,2,2
KGZUkkh-Y3s,553941,1,0,2,2
KSUde7ZNBwk,224146,1,0,2,2
L82YREs6L0o,340012,1,0,2,2
QeelVo54LDw,203377,1,0,2,2
SDlAwQsGYZo,290166,1,0,2,2
T5GwxjgZ-lw,200191,1,0,2,2
VbmQIjkG7us,361625,1,0,2,2
XZX99FT7Ni8,320074,1,0,2,2
_0GU1SjkC2k,422299,1,0,2,2
aWPLVKFksXs,288693,1,0,2,2
b7mxdpMGiaA,456720,1,0,2,2
dHPOkfm-Izk,200584,1,0,2,2
iBP4Mdr5o6k,313397,1,0,2,2
lKPhU4mK7H4,304728,1,0,2,2
nUBSAPZOydk,498490,1,0,2,2
q1Wh0mcgucc,429161,1,0,2,2
s4gGLLic5sM,446753,1,0,2,2
s7hWdPaat24,483281,1,0,2,2
sYwuOHL4QpQ,366243,1,0,2,2
tbeIlLghZgA,304724,1,0,2,2
tki7nDNhzDw,443159,1,0,2,2
u4Ft8PGeu4A,417637,1,0,2,2
ywy6LZ1ZNa8,392504,1,0,2,2
